,amount,first_name,is_anomaly
0,16.25,Diana,0
1,14.19,Diana,0
2,3.25,Diana,0
3,14.1,Diana,0
4,10.67,Diana,0
5,11.28,Diana,0
6,8.99,Diana,0
7,10.32,Diana,0
8,8.11,Diana,0
9,11.23,Diana,0
10,7.7,Diana,0
11,7.99,Diana,0
12,9.47,Diana,0
13,195.0,Diana,1
14,15.3,Diana,0
15,8.99,Diana,0
16,7.61,Diana,0
17,2.08,Diana,0
18,11.29,Diana,0
19,11.28,Diana,0
20,21.58,Diana,0
21,3.48,Diana,0
22,45.05,Diana,0
23,22.23,Diana,0
24,30.44,Diana,0
25,11.22,Diana,0
26,7.59,Diana,0
27,2.0,Diana,0
28,8.09,Diana,0
29,11.48,Diana,0
30,2.85,Diana,0
31,7.54,Diana,0
32,17.71,Diana,0
33,33.82,Diana,0
34,9.76,Diana,0
35,20.0,Diana,0
36,36.0,Diana,0
37,11.14,Diana,0
38,7.85,Diana,0
39,9.43,Diana,0
40,5.55,Diana,0
41,2.49,Diana,0
42,11.27,Diana,0
43,8.4,Diana,0
44,3.26,Diana,0
45,7.57,Diana,0
46,5.81,Diana,0
47,19.58,Diana,0
48,92.0,Diana,0
49,9.67,Diana,0
50,3.01,Diana,0
51,4.03,Diana,0
52,4.02,Diana,0
53,6.38,Diana,0
54,9.4,Diana,0
55,8.83,Diana,0
56,5.34,Diana,0
57,6.59,Diana,0
58,9.15,Diana,0
59,3.01,Diana,0
60,8.91,Diana,0
61,6.9,Diana,0
62,13.21,Diana,0
63,6.31,Diana,0
64,10.62,Diana,0
65,11.65,Diana,0
66,8.61,Diana,0
67,14.17,Diana,0
68,19.64,Diana,0
69,6.51,Diana,0
70,14.86,Diana,0
71,209.16,Diana,1
72,4.88,Diana,0
73,9.87,Diana,0
74,6.01,Diana,0
75,2.89,Diana,0
76,43.91,Diana,0
77,7.49,Diana,0
78,14.46,Diana,0
79,16.77,Diana,0
80,32.99,Diana,0
81,11.61,Diana,0
82,6.97,Diana,0
83,42.0,Diana,0
84,5.67,Diana,0
85,11.24,Diana,0
86,12.64,Diana,0
87,3.55,Diana,0
88,6.44,Diana,0
89,20.0,Diana,0
90,36.0,Diana,0
91,15.09,Diana,0
92,10.56,Diana,0
93,71.12,Diana,0
94,7.7,Diana,0
95,7.71,Diana,0
96,17.75,Diana,0
97,27.19,Diana,0
98,35.91,Diana,0
99,5.12,Diana,0
100,5.14,Diana,0
101,22.3,Diana,0
102,6.15,Diana,0
103,35.03,Diana,0
104,6.13,Diana,0
105,14.11,Diana,0
106,16.68,Diana,0
107,16.84,Diana,0
108,15.6,Diana,0
109,4.79,Diana,0
110,4.11,Diana,0
111,5.46,Diana,0
112,13.03,Diana,0
113,9.12,Diana,0
114,8.34,Diana,0
115,6.0,Diana,0
116,20.0,Diana,0
117,36.0,Diana,0
118,30.58,Diana,0
119,4.33,Diana,0
120,5.35,Diana,0
121,7.6,Diana,0
122,10.96,Diana,0
123,7.94,Diana,0
124,20.91,Diana,0
125,12.8,Diana,0
126,51.04,Diana,0
127,14.15,Diana,0
128,12.32,Diana,0
129,14.95,Diana,0
130,6.81,Diana,0
131,11.58,Diana,0
132,14.37,Diana,0
133,9.67,Diana,0
134,5.87,Diana,0
135,8.33,Diana,0
136,17.59,Diana,0
137,27.27,Diana,0
138,8.64,Diana,0
139,19.31,Diana,0
140,26.5,Diana,0
141,6.52,Diana,0
142,8.87,Diana,0
143,9.68,Diana,0
144,8.17,Diana,0
145,90.43,Diana,0
146,9.67,Diana,0
147,11.55,Diana,0
148,18.7,Diana,0
149,6.52,Diana,0
150,12.14,Diana,0
151,11.1,Diana,0
152,9.44,Diana,0
153,7.45,Diana,0
154,12.46,Diana,0
155,5.06,Diana,0
156,3.75,Diana,0
157,3.95,Diana,0
158,21.0,Diana,0
159,20.0,Diana,0
160,36.0,Diana,0
161,9.73,Diana,0
162,20.58,Diana,0
163,6.76,Diana,0
164,21.2,Diana,0
165,1.59,Diana,0
166,7.09,Diana,0
167,10.7,Diana,0
168,12.69,Diana,0
169,7.76,Diana,0
170,11.93,Diana,0
171,24.32,Diana,0
172,3.35,Diana,0
173,5.32,Diana,0
174,10.91,Diana,0
175,573.66,Diana,1
176,17.28,Diana,0
177,7.56,Diana,0
178,9.15,Diana,0
179,9.43,Diana,0
180,11.25,Diana,0
181,4.66,Diana,0
182,2.4,Diana,0
183,24.88,Diana,0
184,14.77,Diana,0
185,70.22,Diana,0
186,7.51,Diana,0
187,6.27,Diana,0
188,4.28,Diana,0
189,8.46,Diana,0
190,12.15,Diana,0
191,195.0,Diana,1
192,20.0,Diana,0
193,36.0,Diana,0
194,3.86,Diana,0
195,24.31,Diana,0
196,10.39,Diana,0
197,12.57,Diana,0
198,30.71,Diana,0
199,14.19,Diana,0
200,12.98,Diana,0
201,23.84,Diana,0
202,23.81,Diana,0
203,17.71,Diana,0
204,7.9,Diana,0
205,23.67,Diana,0
206,8.97,Diana,0
207,8.71,Diana,0
208,17.79,Diana,0
209,13.31,Diana,0
210,3.32,Diana,0
211,5.58,Diana,0
212,10.58,Diana,0
213,6.12,Diana,0
214,10.39,Diana,0
215,6.55,Diana,0
216,10.7,Diana,0
217,11.75,Diana,0
218,19.75,Diana,0
219,14.69,Diana,0
220,6.45,Diana,0
221,97.24,Diana,0
222,18.4,Diana,0
223,6.69,Diana,0
224,92.0,Diana,0
225,17.67,Diana,0
226,17.37,Diana,0
227,6.15,Diana,0
228,14.96,Diana,0
229,6.76,Diana,0
230,20.0,Diana,0
231,36.0,Diana,0
232,8.86,Diana,0
233,6.97,Diana,0
234,22.7,Diana,0
235,10.34,Diana,0
236,8.11,Diana,0
237,28.74,Diana,0
238,14.86,Diana,0
239,0.76,Diana,0
240,25.09,Diana,0
241,7.65,Diana,0
242,6.48,Diana,0
243,13.54,Diana,0
244,21.35,Diana,0
245,7.75,Diana,0
246,7.39,Diana,0
247,12.4,Diana,0
248,11.42,Diana,0
